Review
"Overall sudah bagus semua nya. Kurang diterjemahan bahasa indonesia nya. Alangkah sebaik nya ditambahkan untuk bahasa indonesia juga, agar kita yang tidak bisa bahasa inggris, bisa mengerti penjelasan atau arti dari suatu kata atau kalimat."
"Sangat membantu, banyak sekali pilihan quiz mulai dari kana,kanji, sampe vocab dari N5-N1. UI juga mudah dinavigasi selain itu ada fitur stroke order yang sangat membantu. ありがとございます"
"Tolong berikan bahasa Indonesia didalam keterangannya, agar orang dinegara Indonesia dapat lebih memahami penjelasan tentang bahasa jepang dengan jelas, dn tambahkan penjelasan yg lain agar lebih lengkap dan akurat pada saat belajar, kami sangat kecewa karna msh bnyak menu yg kurang"
"aplikasinya bagus untuk belajar dan menghafal bahasa jepang dari NOL, tapi tolong ada pengaturan untuk bahasa Indonesia, agar lebih memahami huruf & bahasa Jepangya terima kasih."
"Alhamdulillah aplikasi bagus tapi ada yg kurang buat orang Indonesia,kalo bukan bahasa Indonesia tolong ya developer tambahin ya bahasa Indonesia biar mudah dipahami sama orang pemula (termasuk saya)😅 yang ingin belajar bahasa Jepang,tolong ya."
"Aplikasi sangat bagus dan sangat membantu saya dalam belajar bahasa jepang.dan juga tolong pada setting language ditambah kan bahasa indonesia agar lebih mudah di mengerti, terimakasih Obengkyou"
"Applikasi ini bagus untuk belajar dr awal banget. Pengenalannya lengkap dr mulai huruf hiragana, katakana, kanji, angka, partikel, grammar. Hingga tes2nya. Tapi sayangnya ga ada bahasa Indonesianya. Tolong ditambahkan bahasa Indonesia, pasti akan lebih baik. Terimakasih"
"Untuk Romanji to hiragana draw tolong diperbaiki rusak koreksinya, padahal udah betul menulisnya dan dapat dibaca tpi kok gabisa"
"Tolong dong ada pilihan bahasa Indonesia nya jadi bingung kalau tes bukannya ga tau kanji nya tapi malah ga tau arti Inggris nya Mohon di lengkapi pilihan bahasa Indonesia nya ya, agar lebih mudah dipelajari Terima kasih Nanti kalau sudah ada bahasa Indonesia nya saya kasih bintang 5"
"aplikasi ini udah bagus banget, sangat membantu untuk saya yang belajar otodidak. semoga kedepannya ditambahkan bahasa indonesia karena pengguna dari indonesia juga cukup banyak."
"Menurutku apk bahasa jepang ini bagus tapi karna saya orang indonesia yang ingin belajar bahasa jepang, sebaik nya tolong tambahkan arti bahasa indonesia:))"
"Sangat di sesalkan tidak ada terjemahan bahasa Indonesia, sangat bagus, mudah dipahami, tapi saya berharap ada pembaharuan untuk bahasa Indonesia."
"Sangat tidak merekomendasikan aplikasi ini, saya mengerjakan soal angka kanji/hiragana dianggap salah(padahal bener, di google juga bener), ya mungkin hanya itu kesalahannya, tapi setelah ku ulangi atau mulai dari awal tetep aja ada yg seperti itu.... Sesat!!!!!! Pokoknya jangan didownload!!!"
"Rekomendasi apk belajar dari nol. Masukan, untuk di input bahasa Indonesia."
Aplikasi yg bagus untuk belajar haya saja lebih sertakan arti dalam bahasa indonesia karna menurut saya jika menggunakan bahasa inggris terlalu sulit di pahami oleh orang awam
Aplikasi ini sangat bermanfaat untuk belajar dari 0. Cuma kekurangan pada bahasa terjemahan nya. Kalau bisa di tambah terjemaahan indonesia nya
aplikasiny udah bagus bgt tpi minta tolong bisakan di buat.in pengaturan bahasa indonesia buat pengartian dan penjelasan jdi biar bisa di pahamami bagai orang awam yg gc bisa penjelasan dengan bahasa inggris
"Tolong buat developer nya, kasih bahasa Indonesia aja di terjemahannya, biar lebih mudah dipahami, tetapi ini sudah bagus kok apk nya"
Menurut saya gak pake bahasa indonesia pun gak papa yg pnting aplikasi ini bagus banget gw suka bngt lo gpp gk ada bhasa indonesia nya yg penting dia membntu aku belajar bahasa jepang
