Review
"Sangat membantu untuk memahami kanji, desain yang simpel dan elegan bikin belajar jadi gampang"
"aplikasi ini membantu banget buat yang otodidak yg ingin blajar hiragana, kata kana dan kanji N5 dan di kasih waktu untuk mengerjakan nya mantep aplikasi nya"
kurang sambungan misal Kya kyu kyo terus penjelasannya di buat bahasanya Indonesia soalnya aku ga bisa bahasa inggris
"kanji lengkap, setiap kanji, radikal dan komponen dapat dipelajari secara detail"
sangat membantu untuk bisa membaca dan mengangkat kata pokonya mantap
"Wah dulu saya belajr otodidak disini sampe bisa nulis dasar nya, sekarang udah lulus N3 belajar dari sini. Keren app nya ga ribet sama sekali, sayang nya belum ada di iOS"
Pokoknya Sangat cocok sekali bagi penghafal huruf kanji di aplikasi ini....top bangets 💪😆😆
"sangat mudah di pahami. kanjinya dibagi persepuluh, jadi tidak terlihat banyak dan tefokus persepuluh. dan itu sangat berpengaruh... aplikasi kanji paling kerenlah yang ada di playstore/ lainnya... harus dicoba,,, langsung hafal pokoknya.. saya yakin"
"Sangat bagus dan mudah dimengerti. Kalau ada yg protes kenapa tidak semua kata punya makna Bahasa Indonesia dan masih banyak yg bahasa Inggris, biasakan untuk memahami proses dibalik penerjemahan itu yang tidaklah gampang dan perlu banyak waktu. Ente kadang kadang ya bisanya ngeluh, nolongin developernya kagak."
"Jujur apk ini sangat membantu dan mudah dipahami, aku dapat membedakan onyomi dan kunyomi berkat aplikasi ini, minusnya cuma 1 di bagian arti kalimat contoh nya bahasa inggris, selebih itu gaada masalah. apk ini Cocok banget buat yang lagi belajar bahasa jepang kanji. TERIMA KASIH KANJI STUDY"
"Aplikasi ini jadi aplikasi terbaik dari semua aplikasi belajar bahasa jepang jika disertai terjemahan bahasa indonesia 😁 Tidak perlu lagi mengecek ulang arti terjemahan dari bahasa inggris 😅 Hampir semua menulis masukan yg sama, tp keknya ga dibaca juga masukannya, atau malah dibaca doang 😂😂😂 I hope you'll be able to give the Indonesian translation as well, so we don't have to check the English translation."
"if I update this app, should I re-pay it for the newest version or free, answer me please...? alhamdulilah ,ini aplikasi komplit banget, mulai dari hiragana, katakana,kanji, semua ada, tapi sayang nya gak gratis dan gak semua kanji nya di kunci, dan harus ada pembayaran buat ngebuka semua level kanjinya, tapi mau bayarnya bingung gak punya kartu kredit/atm.e-money gak punya, tapi kalau pake pulsa provider seluler bisa gak yah,kalau bisa pake pulsa hp enak."
aplikasi yang bagus untuk belajar bahasa Jepang
"Kanjiny lengkap dan penjelasannya detail, dilengkapi dengan cara penulisan, bacaan, radikal, contoh kalimat, hingga mode kuis beragam yang dapat dikostumisasi. Penggunaan serta pencarian kanji sangat mudah. Harga untuk upgrade ke premium juga bagus, saya sangat puas. Sangat saya rekomendasikan!"
"Sangat menarik dan mempermudah dalam mempelajari kanji. Saya yang awalnya tidak suka belajar kanji karena sulit, tapi dengan aplikasi ini kanji terasa lebih mudah di pahami. Karena ada rating dalam penguasaan kanji, saya merasa ini seperti game yang menyenangkan. Saya ingin membeli untuk upgrade belajar semua kanji, namun sayangnya terjadi masalah dengan playstore terkait negara di akun saya. Saya harap bisa membelinya di kemudian hari setelah masalah ini bisa diperbaiki."
"A great app, tolong tambahkan bahasa Indonesia untuk semua katanya, agar lebih mudah dalam belajar, kemarin langsung upgrade ke versi pro biar kebuka semua fitur dan untuk menghargai developer yg udh buat, please add Indonesia language in every word to make learning easier.. thanks so much"
"Pengalaman luarbiasa dengan aplikasi ini. Tidak hanya kanji, puluhan ribu kosakata dan contoh kalimat sederhana turut disajikan dengan baik. Deteksi guratan sangat akurat. Fasilitas custome group untuk mengelompoklan kanji atau radikal dan menu favorit untuk menandai semua pelajaran sangat membantu pengguna segala tingkatan. Baru baru ini, saya coba sinkronkan dengan ankidroid ternyata fungsinya semakin keren. Karya terbaik dari aplikasi ini patut berbintang 5."
"Mohon Dev coba cara buka kanji tingkat n4 sampai tingkat n1 nya minimal nonton iklan atau tidak apa apa kalau dibatasi,misalkan belajarnya cuma beberapa menit dan juga menggunakan tiket.karna bagi kami yang belum bisa kerja tidak bisa untuk akses premium.mohon di mudahkan👃"
"Aplikasi nya bagus , tapi untuk orang indonesia khususnya saya yang kurang mengerti dengan bahasa inggris dalam penjelasan atau arti dari satu kata atau satu kalimat didalam aplikasi tersebut sangat membuat saya pusing dalam mengartikan nya , jadi kedepannya saya berharap ada yang full terjemahan dalam bahasa indonesia . Ganbare! Arigatougozaimashita. Yoroshikuonegaishimasu^^"
"Aplikasi bagus, berguna banget ada fitur belajar menulis pilihan ganda juga mengingat jadi bisa mengurangi pengeluaran untuk beli flashcard, juga ada fitur pencarian kotoba jadi lebih mudah Terima kasih ✨"
"Nahhh ini nih yang sy cari di aplikasi sebelah niat belajar tapi pake sistem prinkat dan metode seperti game bahkan bisa nyampe 7 jam cuma buat bisa masuk ke peringkat 4 soalnya nanti drop out tingkatan emerald lah rubby lah, apalah bukannya ngerti malah berasa kayak dihantui inisial apknya d maskotnya burung hantu ijo🤣🤣🤣, beda sama yang ini ini aplikasinya nyantai, simpel, jelas juga top deh💯💯💯"
Aplikasi terbaik untuk belajar kanji. Saya suka dengan metode belajarnya yang menggunakan kartu belajar untuk mengingat kanji. Terjemahan dan kata2nya juga akurat. Worth it sekali untuk diupgrade.
"Sangat bagus, saya sangat terbantu. Sudah 2 hari saya menggunakan aplikasi ini dan terlihat kemajuan yang begitu pesat. Kalo saya sudah menguasai kanji dasar 1 saya mungkin akan up ke Prem, dan semoga untuk bahasa Indonesia bisa full. Sukses terus"
"Untuk belajar kana sangat mudah, untuk kanji kurang paham, karena hanya sedikit penjelasan yg dipaparkan, terle bih lagi gak semua full bahasa indo untuk beljar kanji jadi agak susah, ya pokonya ありはとうございます!"
"Sangat bagus sekali cuma masih ada banyak kalimat yang belum menggunakan bahasa indonesia dengan penuh masih bercampur dengan bahasa inggris, jika sudah penuh dengan bahasa indonesia aku kasih 1 bintang lagi dan untuk membantu itu tercapai akan saya upgrade ke premium, terima kasih. Tambahan : tambah kan kosakata kanji ya."
"Aplikasi lengkap sih... Cuman kikir bgt'( mending aplikasinya ngasih iklan daripada harus membeli, soalnya mahal banget buat orang yang kurang mampu... semoga developernya menerima saran ini,,"
